nohup: ignoring input
================================================================================
[INFO] -- Experiment Configs --
        training
           lr:           0.0100
         seed:           1
       epochs:           1000
       method:           mlqp2
hidden number:           256
================================================================================
[INFO]: the plt save address is ./model=mlqp2_lr=0.01_seed=1_hidden_num=256
cuda
[INFO] -- MLQP2 INIT --
Epoch : 108, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 109, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 110, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 111, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 112, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 113, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 114, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 115, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 116, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 117, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 118, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 119, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 120, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 121, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 122, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 123, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 124, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 125, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 126, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 127, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 128, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 129, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 130, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 131, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 132, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 133, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 134, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 135, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 136, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 137, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 138, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 139, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 140, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 141, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 142, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 143, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 144, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 145, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 146, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 147, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 148, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 149, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 150, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 151, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 152, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 153, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 154, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 155, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 156, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
Epoch : 157, Training loss = 0.00, Training Acc = 1.00, Validation loss = 0.00, Validation Acc = 1.00
